boiler-workflow | [13:52:39 DBG] OUTBOX_EMPTY {"SourceContext": "WorkflowService.Background.OutboxWorker"}
boiler-workflow | [13:52:54 INF] WF_TIMER_WORKER_DUE_COUNT Count=1 {"SourceContext": "WorkflowService.Background.TimerWorker"}
boiler-workflow | [13:52:54 INF] WF_TIMER_FIRE Instance=20 Task=20 Node=timer-1756647818046 Due=08/31/2025 13:52:53 {"SourceContext": "WorkflowService.Background.TimerWorker"}
boiler-workflow | [13:52:54 INF] WF_ADVANCE Instance=20 FromNode=timer-1756647818046 Next=[humanTask-1756647830803] Removed=True {"SourceContext": "WorkflowService.Engine.WorkflowRuntime"}
boiler-workflow | [13:52:54 INF] 🔍 WorkflowDbContext: Starting SaveChangesAsync {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] 🏢 WorkflowDbContext: Tenant ID resolved as: 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 DBG] ✅ WorkflowDbContext: Transaction-local tenant set to 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] ✅ WorkflowDbContext: Updated TenantId for 0 entities {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] WF_CONTINUE Instance=20 Nodes=[humanTask-1756647830803] {"SourceContext": "WorkflowService.Engine.WorkflowRuntime"}
boiler-workflow | [13:52:54 INF] WF_NODE_EXEC_START Instance=20 Node=humanTask-1756647830803 Type=humanTask {"SourceContext": "WorkflowService.Engine.WorkflowRuntime"}
boiler-workflow | [13:52:54 INF] Creating human task: TaskName='Post Timer', AssignedRole='Admin', AssignedUserId='', DueInMinutes=1 {"SourceContext": "WorkflowService.Engine.Executors.HumanTaskExecutor"}
boiler-workflow | [13:52:54 INF] Validated role 'Admin' exists in tenant 1 {"SourceContext": "WorkflowService.Engine.Executors.HumanTaskExecutor"}
boiler-workflow | [13:52:54 INF] Task assigned to role 'Admin' {"SourceContext": "WorkflowService.Engine.Executors.HumanTaskExecutor"}
boiler-workflow | [13:52:54 INF] Successfully created human task 'Post Timer' for workflow instance 20 (Tenant 1) {"SourceContext": "WorkflowService.Engine.Executors.HumanTaskExecutor"}
boiler-workflow | [13:52:54 INF] WF_NODE_WAIT Instance=20 Node=humanTask-1756647830803 Type=humanTask {"SourceContext": "WorkflowService.Engine.WorkflowRuntime"}
boiler-workflow | [13:52:54 INF] 🔍 WorkflowDbContext: Starting SaveChangesAsync {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] 🏢 WorkflowDbContext: Tenant ID resolved as: 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 DBG] ✅ WorkflowDbContext: Transaction-local tenant set to 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] ✅ WorkflowDbContext: Updated TenantId for 0 entities {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] OUTBOX_BATCH Size=3 {"SourceContext": "WorkflowService.Background.OutboxWorker"}
boiler-workflow | [13:52:54 INF] OUTBOX_DISPATCH EventType=workflow.task.timercompleted Id=114 Tenant=1 Retry=0 PayloadSize=85 {"SourceContext": "WorkflowService.Services.LoggingOutboxDispatcher"}
boiler-workflow | [13:52:54 INF] OUTBOX_DISPATCH EventType=workflow.edge.edgetraversed Id=115 Tenant=1 Retry=0 PayloadSize=97 {"SourceContext": "WorkflowService.Services.LoggingOutboxDispatcher"}
boiler-workflow | [13:52:54 INF] OUTBOX_DISPATCH EventType=workflow.node.nodeactivated Id=116 Tenant=1 Retry=0 PayloadSize=98 {"SourceContext": "WorkflowService.Services.LoggingOutboxDispatcher"}
boiler-workflow | [13:52:54 INF] 🔍 WorkflowDbContext: Starting SaveChangesAsync {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] 🏢 WorkflowDbContext: Tenant ID resolved as: 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 DBG] ✅ WorkflowDbContext: Transaction-local tenant set to 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] ✅ WorkflowDbContext: Updated TenantId for 0 entities {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-auth |   | 2025-08-31T13:53:01.034868875Z [13:53:01 INF] HTTP GET /health responded 200 in 0.1985 ms {"SourceContext": "Serilog.AspNetCore.RequestLoggingMiddleware"}
boiler-user |   | 2025-08-31T13:53:02.058860144Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.058863145Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.061099916Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.061121225Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.061654732Z [13:53:02 WRN] Health check enhanced_authorization with status Degraded completed after 15.7956ms with message 'Authorization performance issues: WARNING: Permission check performance inconsistent (std dev: 0.8ms)' {"EventId": {"Id": 103, "Name": "HealthCheckEnd"}, "SourceContext": "Microsoft.Extensions.Diagnostics.HealthChecks.DefaultHealthCheckService", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.061666337Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.061669238Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.064337177Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.064363587Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.065352872Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.065367378Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.066859959Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.066879766Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.067777916Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.067804727Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.068901354Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.068932566Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.070558499Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.070600315Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.072272566Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.072316983Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.073307269Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.073358789Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.074584366Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.074595771Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_database", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.076047436Z [13:53:02 WRN] Health check enhanced_database with status Degraded completed after 30.1738ms with message 'Database performance issues: WARNING: Found 6 orphaned user role assignments; WARNING: Found 366 orphaned role permissions' {"EventId": {"Id": 103, "Name": "HealthCheckEnd"}, "SourceContext": "Microsoft.Extensions.Diagnostics.HealthChecks.DefaultHealthCheckService", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.077573730Z [13:53:02 INF] HTTP GET /health responded 200 in 34.5672 ms {"SourceContext": "Serilog.AspNetCore.RequestLoggingMiddleware"}
boiler-gateway | 2025-08-31T13:53:07.020374104Z [13:53:07 INF] REQUEST 45e42b75: GET /health from 127.0.0.1 | Tenant: Unknown | User: Anonymous {"SourceContext": "ApiGateway.Middleware.RequestLoggingMiddleware", "RequestId": "0HNF8IGCQ0KOL:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGCQ0KOL"}
boiler-gateway | 2025-08-31T13:53:07.020442931Z 🔍 JWT OnMessageReceived:
boiler-gateway | 2025-08-31T13:53:07.020447232Z    Path: /health
boiler-gateway | 2025-08-31T13:53:07.020449833Z    Method: GET
boiler-gateway | 2025-08-31T13:53:07.020452634Z    Authorization Header: MISSING
boiler-gateway | 2025-08-31T13:53:07.020620600Z [13:53:07 INF] RESPONSE 45e42b75: 200 in 0ms | Size: Unknown {"SourceContext": "ApiGateway.Middleware.RequestLoggingMiddleware", "RequestId": "0HNF8IGCQ0KOL:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGCQ0KOL"}
boiler-gateway | 2025-08-31T13:53:07.020672720Z [13:53:07 INF] HTTP GET /health responded 200 in 0.4984 ms {"SourceContext": "Serilog.AspNetCore.RequestLoggingMiddleware", "RequestId": "0HNF8IGCQ0KOL:00000001", "ConnectionId": "0HNF8IGCQ0KOL"}
boiler-workflow | [13:53:09 DBG] OUTBOX_EMPTY {"SourceContext": "WorkflowService.Background.OutboxWorker"}
